latitude,longitude,region,season,elevation,slope_degrees,vegetation_index,water_index,urban_proximity,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_percent,river_level_m,distance_to_river_km,drainage_capacity,historical_flood_frequency,population_density,risk_level
23.7693,83.6568,Central,Monsoon,371,3.33,0.536,0.826,29.1,91.6,152.6,331.5,68.4,3.38,5.46,0.859,1,426,High
23.4046,70.342,West,Monsoon,448,2.46,0.564,0.724,22.5,42.5,106.8,304.0,62.7,2.69,1.44,0.393,4,1396,Severe
23.1638,83.1153,Central,Pre-Monsoon,150,4.74,0.226,0.216,32.8,14.4,23.3,55.9,32.6,1.47,10.72,0.569,1,882,Low
10.7476,74.3103,South,Winter,405,5.1,0.562,0.029,7.5,2.0,7.3,20.0,14.3,2.51,1.75,0.778,0,1032,Low
30.6373,78.2309,North,Pre-Monsoon,5,11.6,0.159,0.455,17.1,28.7,85.0,125.3,21.2,2.78,35.43,0.51,1,622,Low
24.9472,95.0458,Northeast,Monsoon,730,3.72,0.303,0.99,4.7,160.9,423.4,545.1,68.1,5.12,3.31,0.793,2,35,High
24.1305,80.0361,Central,Monsoon,353,3.05,0.543,0.477,16.2,36.0,65.1,181.4,33.5,1.7,3.73,0.344,1,327,Moderate
23.537,79.0227,Central,Winter,457,3.62,0.652,0.59,7.2,10.0,25.4,53.9,16.3,3.81,1.67,0.858,2,378,High
29.2314,76.1958,North,Post-Monsoon,400,3.36,0.357,0.425,18.6,15.6,38.3,95.1,30.0,1.16,12.28,0.746,0,326,Low
19.2987,72.4973,West,Monsoon,596,4.64,0.813,0.99,13.6,108.7,309.5,579.1,73.1,4.4,6.88,0.115,0,135,High
22.6878,72.692,West,Winter,626,6.45,0.639,0.301,14.1,6.1,20.7,54.2,15.3,2.19,7.02,0.664,1,1150,Low
27.5814,94.5134,Northeast,Pre-Monsoon,713,4.23,0.687,0.536,16.9,18.6,32.2,78.9,13.2,3.24,2.83,0.858,4,915,Moderate
13.4246,76.3045,South,Winter,297,5.78,0.188,0.481,42.6,18.9,51.4,130.7,31.4,2.14,12.24,0.617,0,464,Low
21.7066,79.1659,Central,Pre-Monsoon,468,5.02,0.476,0.312,9.5,4.3,17.6,28.1,20.8,2.71,21.92,0.55,1,7960,Low
20.8855,72.765,West,Monsoon,5,0.59,0.899,0.643,6.2,12.2,78.3,186.2,63.4,2.18,3.24,0.564,4,434,Severe
23.6236,85.5532,East,Pre-Monsoon,101,5.14,0.626,0.245,3.0,3.9,15.6,48.8,27.4,2.04,9.4,0.875,2,1860,Moderate
14.9122,78.7633,South,Winter,1066,5.41,0.628,0.209,14.3,18.7,46.4,65.8,14.3,2.65,2.46,0.168,1,319,Low
